idx,Symbol,avg,Date,Open,High,Low,Close,date,time,hour,ampm,ts
1569,,9298.814999999999,,,,,,Mon Jun 17 2019 14:00:00 GMT+0100 (British Summer Time),02-PM,14,PM,
1570,,9244.775,,,,,,Mon Jun 17 2019 13:00:00 GMT+0100 (British Summer Time),01-PM,13,PM,
1571,,9249.8,,,,,,Tue Jun 18 2019 00:00:00 GMT+0100 (British Summer Time),12-PM,24,PM,
1572,,9236.235,,,,,,Mon Jun 17 2019 11:00:00 GMT+0100 (British Summer Time),11-AM,11,AM,
1573,,9182.335,,,,,,Mon Jun 17 2019 10:00:00 GMT+0100 (British Summer Time),10-AM,10,AM,
1574,,9150.9,,,,,,Mon Jun 17 2019 09:00:00 GMT+0100 (British Summer Time),09-AM,9,AM,
1575,,9140.585,,,,,,Mon Jun 17 2019 08:00:00 GMT+0100 (British Summer Time),08-AM,8,AM,
1576,,9113.189999999999,,,,,,Mon Jun 17 2019 07:00:00 GMT+0100 (British Summer Time),07-AM,7,AM,
1577,,9122.63,,,,,,Mon Jun 17 2019 06:00:00 GMT+0100 (British Summer Time),06-AM,6,AM,
1578,,9143.66,,,,,,Mon Jun 17 2019 05:00:00 GMT+0100 (British Summer Time),05-AM,5,AM,
1579,,9140.835,,,,,,Mon Jun 17 2019 04:00:00 GMT+0100 (British Summer Time),04-AM,4,AM,
1580,,9098.76,,,,,,Mon Jun 17 2019 03:00:00 GMT+0100 (British Summer Time),03-AM,3,AM,
1581,,9085.735,,,,,,Mon Jun 17 2019 02:00:00 GMT+0100 (British Summer Time),02-AM,2,AM,
1582,,9129.76,,,,,,Mon Jun 17 2019 01:00:00 GMT+0100 (British Summer Time),01-AM,1,AM,
1583,,9052.25,,,,,,Mon Jun 17 2019 12:00:00 GMT+0100 (British Summer Time),12-AM,12,AM,
1584,,9003.215,,,,,,Sun Jun 16 2019 23:00:00 GMT+0100 (British Summer Time),11-PM,23,PM,
1585,,9049.285,,,,,,Sun Jun 16 2019 22:00:00 GMT+0100 (British Summer Time),10-PM,22,PM,
1586,,8992.755000000001,,,,,,Sun Jun 16 2019 21:00:00 GMT+0100 (British Summer Time),09-PM,21,PM,
1587,,8932.215,,,,,,Sun Jun 16 2019 20:00:00 GMT+0100 (British Summer Time),08-PM,20,PM,
1588,,8981.75,,,,,,Sun Jun 16 2019 19:00:00 GMT+0100 (British Summer Time),07-PM,19,PM,
1589,,9035.165,,,,,,Sun Jun 16 2019 18:00:00 GMT+0100 (British Summer Time),06-PM,18,PM,
1590,,9093.11,,,,,,Sun Jun 16 2019 17:00:00 GMT+0100 (British Summer Time),05-PM,17,PM,
1591,,9178.365,,,,,,Sun Jun 16 2019 16:00:00 GMT+0100 (British Summer Time),04-PM,16,PM,
1592,,9207.130000000001,,,,,,Sun Jun 16 2019 15:00:00 GMT+0100 (British Summer Time),03-PM,15,PM,
1593,,9205.93,,,,,,Sun Jun 16 2019 14:00:00 GMT+0100 (British Summer Time),02-PM,14,PM,
1594,,9119.985,,,,,,Sun Jun 16 2019 13:00:00 GMT+0100 (British Summer Time),01-PM,13,PM,
1595,,9063.880000000001,,,,,,Mon Jun 17 2019 00:00:00 GMT+0100 (British Summer Time),12-PM,24,PM,
1596,,9072.32,,,,,,Sun Jun 16 2019 11:00:00 GMT+0100 (British Summer Time),11-AM,11,AM,
1597,,9043.235,,,,,,Sun Jun 16 2019 10:00:00 GMT+0100 (British Summer Time),10-AM,10,AM,
